models,f1_weighted_train,f1_weighted_test,roc_auc_ovr_weighted_train,roc_auc_ovr_weighted_test,balanced_accuracy_train,balanced_accuracy_test,balanced_accuracy_diff,log_loss_train,log_loss_test
RandomForestClassifier,0.997965122568079,0.7872541306058222,0.9985163204747775,0.7133126934984519,0.9985163204747775,0.7133126934984519,0.2852036269763255,0.13032568605796202,0.4979157531865235
KNeighborsClassifier,0.997965122568079,0.6823519750349019,0.9985163204747775,0.5934984520123839,0.9985163204747775,0.5934984520123838,0.4050178684623936,0.0028234101041140513,0.8204374688460908
