models,Precision_train,Precision_test,f1_weighted_train,f1_weighted_test,roc_auc_ovr_weighted_train,roc_auc_ovr_weighted_test,balanced_accuracy_train,balanced_accuracy_test,balanced_accuracy_diff,log_loss_train,log_loss_test
RandomForestClassifier,0.9084380875676833,0.9084380875676833,0.8950994804456588,0.7727938745025599,0.846198312073683,0.701547987616099,0.846198312073683,0.701547987616099,0.14465032445758397,0.40257342930802,0.5242051338866225
KNeighborsClassifier,0.9979764798633467,0.9979764798633467,0.997965122568079,0.6823519750349019,0.9985163204747775,0.5934984520123839,0.9985163204747775,0.5934984520123838,0.4050178684623936,0.0028234101041140513,0.8204374688460908
AdaBoostClassifier,0.8386113946524374,0.8386113946524374,0.7878770373315994,0.7839414490990104,0.7083509961848241,0.7060371517027864,0.7083509961848241,0.7060371517027864,0.0023138444820377524,0.6395807410526513,0.6475774255380304
