model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_train,f1_test,roc_auc_train,roc_auc_test,precision_train,precision_test,accuracy_train,accuracy_test
SVM,,0.7136402173494161,0.6710526315789473,0.7905728647571174,0.7599602692859508,0.7136402173494161,0.6710526315789473,0.8305329798129166,0.8429416112342942,0.8126272912423625,0.7967479674796748
KNN,0.7215358690418874,0.9985163204747775,0.5862229102167182,0.997965122568079,0.6745139625309295,0.9985163204747775,0.5862229102167182,0.9979764798633467,0.775097207493814,0.9979633401221996,0.7398373983739838
AdaBoost,0.7666610023884373,0.7201337238429226,0.6710526315789473,0.7959646042559169,0.7599602692859508,0.7201337238429226,0.6710526315789473,0.8339166902803894,0.8429416112342942,0.8167006109979633,0.7967479674796748
RF,0.781126294523587,0.9985163204747775,0.6842105263157895,0.997965122568079,0.7719193052358754,0.9985163204747775,0.6842105263157895,0.9979764798633467,0.8478406802416648,0.9979633401221996,0.8048780487804879
LR,0.7788864501024292,0.7136402173494161,0.6710526315789473,0.7905728647571174,0.7599602692859508,0.7136402173494161,0.6710526315789473,0.8305329798129166,0.8429416112342942,0.8126272912423625,0.7967479674796748
